time,open,high,low,close
946871100,1054.8101,1054.8101,1054.8101,1054.8101
946957500,1092.08,1092.08,1092.08,1092.08
947043900,1055.99,1055.99,1055.99,1055.99
947130300,1086.67,1086.67,1086.67,1086.67
947216700,1126.99,1126.99,1126.99,1126.99
947475900,1088.97,1088.97,1088.97,1088.97
947562300,1033.55,1033.55,1033.55,1033.55
947648700,1036.63,1036.63,1036.63,1036.63
947735100,1034.1899,1034.1899,1034.1899,1034.1899
947821500,1023.41,1023.41,1023.41,1023.41
948080700,1035.99,1035.99,1035.99,1035.99
948167100,1021.69,1021.69,1021.69,1021.69
948253500,1057.89,1057.89,1057.89,1057.89
948339900,1046.3101,1046.3101,1046.3101,1046.3101
948426300,1058.91,1058.91,1058.91,1058.91
948685500,1049.8199,1049.8199,1049.8199,1049.8199
948771900,1061.6,1061.6,1061.6,1061.6
948944700,1096.45,1096.45,1096.45,1096.45
949031100,1153.35,1153.35,1153.35,1153.35
949290300,1148.89,1148.89,1148.89,1148.89
949376700,1175.15,1175.15,1175.15,1175.15
949463100,1186.97,1186.97,1186.97,1186.97
949549500,1185.11,1185.11,1185.11,1185.11
949635900,1172.21,1172.21,1172.21,1172.21
949895100,1158.08,1158.08,1158.08,1158.08
949981500,1150.2,1150.2,1150.2,1150.2
950067900,1154.25,1154.25,1154.25,1154.25
950154300,1181.48,1181.48,1181.48,1181.48
950240700,1156.67,1156.67,1156.67,1156.67
950499900,1212.66,1212.66,1212.66,1212.66
950586300,1148.1,1148.1,1148.1,1148.1
950672700,1167.64,1167.64,1167.64,1167.64
950759100,1178.51,1178.51,1178.51,1178.51
950845500,1151.5601,1151.5601,1151.5601,1151.5601
951104700,1142.8,1142.8,1142.8,1142.8
951191100,1091.48,1091.48,1091.48,1091.48
951277500,1092.85,1092.85,1092.85,1092.85
951363900,1103.9,1103.9,1103.9,1103.9
951450300,1109.38,1109.38,1109.38,1109.38
951709500,1141.1801,1141.1801,1141.1801,1141.1801
951795900,1075.15,1075.15,1075.15,1075.15
951882300,1139.88,1139.88,1139.88,1139.88
951968700,1141.08,1141.08,1141.08,1141.08
952055100,1124.7,1124.7,1124.7,1124.7
952314300,1126.59,1126.59,1126.59,1126.59
952400700,1104.42,1104.42,1104.42,1104.42
952487100,1057.46,1057.46,1057.46,1057.46
952573500,1004.31,1004.31,1004.31,1004.31
952659900,987.88,987.88,987.88,987.88
952919100,978.64001,978.64001,978.64001,978.64001
953005500,996.35999,996.35999,996.35999,996.35999
953091900,1027.62,1027.62,1027.62,1027.62
953178300,1055.36,1055.36,1055.36,1055.36
953610300,1074.75,1074.75,1074.75,1074.75
953696700,1088.21,1088.21,1088.21,1088.21
