time,open,high,low,close
812778300,1227.8,1227.8,1227.8,1227.8
812864700,1233.61,1233.61,1233.61,1233.61
812951100,1240.97,1240.97,1240.97,1240.97
813210300,1248.02,1248.02,1248.02,1248.02
813296700,1241.01,1241.01,1241.01,1241.01
813383100,1241,1241,1241,1241
813469500,1238.65,1238.65,1238.65,1238.65
813555900,1230.1801,1230.1801,1230.1801,1230.1801
813815100,1222.6,1222.6,1222.6,1222.6
813901500,1206.6801,1206.6801,1206.6801,1206.6801
813987900,1208.76,1208.76,1208.76,1208.76
814074300,1199.5699,1199.5699,1199.5699,1199.5699
814160700,1193.76,1193.76,1193.76,1193.76
814419900,1187.79,1187.79,1187.79,1187.79
814506300,1178.49,1178.49,1178.49,1178.49
814592700,1190.98,1190.98,1190.98,1190.98
814679100,1173.08,1173.08,1173.08,1173.08
814765500,1174.16,1174.16,1174.16,1174.16
815024700,1168.01,1168.01,1168.01,1168.01
815111100,1167.1801,1167.1801,1167.1801,1167.1801
815197500,1173.03,1173.03,1173.03,1173.03
815283900,1170.11,1170.11,1170.11,1170.11
815370300,1166.0699,1166.0699,1166.0699,1166.0699
815629500,1158.21,1158.21,1158.21,1158.21
815715900,1150.29,1150.29,1150.29,1150.29
815802300,1121.75,1121.75,1121.75,1121.75
815888700,1100.47,1100.47,1100.47,1100.47
815975100,1089.95,1089.95,1089.95,1089.95
816234300,1059.83,1059.83,1059.83,1059.83
816320700,1033.77,1033.77,1033.77,1033.77
816407100,1032.35,1032.35,1032.35,1032.35
816493500,1027.0699,1027.0699,1027.0699,1027.0699
816579900,1017.01,1017.01,1017.01,1017.01
816839100,1006.93,1006.93,1006.93,1006.93
816925500,993.04999,993.04999,993.04999,993.04999
817011900,976.72998,976.72998,976.72998,976.72998
817098300,958.89001,958.89001,958.89001,958.89001
817184700,981.81,981.81,981.81,981.81
817443900,988.5,988.5,988.5,988.5
817530300,980.79999,980.79999,980.79999,980.79999
817616700,982,982,982,982
817703100,991.70001,991.70001,991.70001,991.70001
817789500,1004.94,1004.94,1004.94,1004.94
818048700,1007.95,1007.95,1007.95,1007.95
818135100,1007.51,1007.51,1007.51,1007.51
818221500,1016.38,1016.38,1016.38,1016.38
818307900,1031.6801,1031.6801,1031.6801,1031.6801
818394300,1034.84,1034.84,1034.84,1034.84
818653500,1027.5601,1027.5601,1027.5601,1027.5601
818739900,1027.63,1027.63,1027.63,1027.63
818826300,1032.92,1032.92,1032.92,1032.92
818912700,1035.26,1035.26,1035.26,1035.26
818999100,1040.1,1040.1,1040.1,1040.1
819258300,1035.37,1035.37,1035.37,1035.37
819344700,1029.3199,1029.3199,1029.3199,1029.3199
819431100,1030.65,1030.65,1030.65,1030.65
819517500,1043.52,1043.52,1043.52,1043.52
819603900,1047.21,1047.21,1047.21,1047.21
819949500,1049.77,1049.77,1049.77,1049.77
820035900,1062,1062,1062,1062
820122300,1061.95,1061.95,1061.95,1061.95
820208700,1057.86,1057.86,1057.86,1057.86
820467900,1054.09,1054.09,1054.09,1054.09
820554300,1046.73,1046.73,1046.73,1046.73
820640700,1043.86,1043.86,1043.86,1043.86
820727100,1033.92,1033.92,1033.92,1033.92
820813500,1027.79,1027.79,1027.79,1027.79
821072700,1014.92,1014.92,1014.92,1014.92
821159100,1006.66,1006.66,1006.66,1006.66
821245500,1009.52,1009.52,1009.52,1009.52
821331900,1014.21,1014.21,1014.21,1014.21
821418300,1022.87,1022.87,1022.87,1022.87
821677500,1016.6,1016.6,1016.6,1016.6
821763900,1014.73,1014.73,1014.73,1014.73
821850300,1008.26,1008.26,1008.26,1008.26
821936700,996.35999,996.35999,996.35999,996.35999
822023100,984.59003,984.59003,984.59003,984.59003
822282300,984.27002,984.27002,984.27002,984.27002
822368700,971.45001,971.45001,971.45001,971.45001
822455100,959.52002,959.52002,959.52002,959.52002
822541500,949.67999,949.67999,949.67999,949.67999
822887100,960.20001,960.20001,960.20001,960.20001
822973500,973.51001,973.51001,973.51001,973.51001
823059900,989,989,989,989
823146300,1004.75,1004.75,1004.75,1004.75
823232700,1044.2,1044.2,1044.2,1044.2
823491900,1058.98,1058.98,1058.98,1058.98
823578300,1051.95,1051.95,1051.95,1051.95
823664700,1046.76,1046.76,1046.76,1046.76
823751100,1076.61,1076.61,1076.61,1076.61
823837500,1148.14,1148.14,1148.14,1148.14
824096700,1167.9399,1167.9399,1167.9399,1167.9399
824183100,1171.72,1171.72,1171.72,1171.72
824269500,1236,1236,1236,1236
824355900,1245.33,1245.33,1245.33,1245.33
824442300,1215.99,1215.99,1215.99,1215.99
824701500,1205.73,1205.73,1205.73,1205.73
824787900,1189.5601,1189.5601,1189.5601,1189.5601
824960700,1207.4,1207.4,1207.4,1207.4
825047100,1208.3,1208.3,1208.3,1208.3
825306300,1209.88,1209.88,1209.88,1209.88
825392700,1199.36,1199.36,1199.36,1199.36
825479100,1194.33,1194.33,1194.33,1194.33
825565500,1152.08,1152.08,1152.08,1152.08
825651900,1154.8101,1154.8101,1154.8101,1154.8101
825911100,1153.86,1153.86,1153.86,1153.86
826083900,1156.65,1156.65,1156.65,1156.65
826170300,1151.65,1151.65,1151.65,1151.65
826256700,1144.76,1144.76,1144.76,1144.76
826515900,1131.09,1131.09,1131.09,1131.09
826602300,1125.22,1125.22,1125.22,1125.22
826688700,1142.42,1142.42,1142.42,1142.42
826775100,1146.1899,1146.1899,1146.1899,1146.1899
826861500,1140.23,1140.23,1140.23,1140.23
827120700,1124.9399,1124.9399,1124.9399,1124.9399
827207100,1115.22,1115.22,1115.22,1115.22
827379900,1129.15,1129.15,1129.15,1129.15
827466300,1119.78,1119.78,1119.78,1119.78
827725500,1119.5,1119.5,1119.5,1119.5
827811900,1117.39,1117.39,1117.39,1117.39
827898300,1130.74,1130.74,1130.74,1130.74
827984700,1150.1899,1150.1899,1150.1899,1150.1899
828071100,1151.15,1151.15,1151.15,1151.15
828330300,1154.3,1154.3,1154.3,1154.3
828416700,1161.4301,1161.4301,1161.4301,1161.4301
828503100,1172.15,1172.15,1172.15,1172.15
828589500,1172,1172,1172,1172
828935100,1188.5699,1188.5699,1188.5699,1188.5699
829021500,1195.96,1195.96,1195.96,1195.96
829107900,1199.15,1199.15,1199.15,1199.15
829194300,1189.13,1189.13,1189.13,1189.13
829280700,1192.6,1192.6,1192.6,1192.6
829539900,1200.86,1200.86,1200.86,1200.86
829626300,1211.24,1211.24,1211.24,1211.24
829712700,1255.45,1255.45,1255.45,1255.45
829799100,1283.13,1283.13,1283.13,1283.13
829885500,1295.74,1295.74,1295.74,1295.74
830144700,1269.73,1269.73,1269.73,1269.73
830231100,1258.21,1258.21,1258.21,1258.21
830317500,1299.24,1299.24,1299.24,1299.24
830403900,1286.47,1286.47,1286.47,1286.47
830490300,1277.89,1277.89,1277.89,1277.89
830749500,1272.9399,1272.9399,1272.9399,1272.9399
830835900,1273.72,1273.72,1273.72,1273.72
830922300,1294.13,1294.13,1294.13,1294.13
831008700,1289.22,1289.22,1289.22,1289.22
831095100,1288.62,1288.62,1288.62,1288.62
831354300,1270.01,1270.01,1270.01,1270.01
831440700,1281.5601,1281.5601,1281.5601,1281.5601
831527100,1294.35,1294.35,1294.35,1294.35
831613500,1275.23,1275.23,1275.23,1275.23
831699900,1252.8199,1252.8199,1252.8199,1252.8199
831959100,1253.64,1253.64,1253.64,1253.64
832045500,1261.26,1261.26,1261.26,1261.26
832131900,1268.05,1268.05,1268.05,1268.05
832218300,1285.79,1285.79,1285.79,1285.79
832304700,1275.72,1275.72,1275.72,1275.72
832563900,1244.41,1244.41,1244.41,1244.41
832650300,1225.14,1225.14,1225.14,1225.14
832736700,1236.38,1236.38,1236.38,1236.38
832823100,1228.34,1228.34,1228.34,1228.34
832909500,1234.12,1234.12,1234.12,1234.12
833168700,1212.38,1212.38,1212.38,1212.38
833255100,1207.53,1207.53,1207.53,1207.53
833341500,1243.49,1243.49,1243.49,1243.49
833427900,1231.88,1231.88,1231.88,1231.88
833514300,1238.8,1238.8,1238.8,1238.8
833773500,1251.13,1251.13,1251.13,1251.13
833859900,1250.96,1250.96,1250.96,1250.96
833946300,1257.41,1257.41,1257.41,1257.41
834032700,1272.46,1272.46,1272.46,1272.46
834119100,1267.98,1267.98,1267.98,1267.98
834378300,1276.04,1276.04,1276.04,1276.04
834464700,1273.5,1273.5,1273.5,1273.5
834551100,1304.91,1304.91,1304.91,1304.91
834637500,1316.28,1316.28,1316.28,1316.28
834723900,1357.6899,1357.6899,1357.6899,1357.6899
834983100,1348.05,1348.05,1348.05,1348.05
835069500,1338.49,1338.49,1338.49,1338.49
835155900,1335.38,1335.38,1335.38,1335.38
835242300,1331.36,1331.36,1331.36,1331.36
835328700,1310.66,1310.66,1310.66,1310.66
835587900,1298.4301,1298.4301,1298.4301,1298.4301
835674300,1286.01,1286.01,1286.01,1286.01
835760700,1294.45,1294.45,1294.45,1294.45
835847100,1299.86,1299.86,1299.86,1299.86
835933500,1297.27,1297.27,1297.27,1297.27
836192700,1281.52,1281.52,1281.52,1281.52
836279100,1274.6899,1274.6899,1274.6899,1274.6899
836365500,1256.11,1256.11,1256.11,1256.11
836451900,1256.62,1256.62,1256.62,1256.62
836538300,1257.41,1257.41,1257.41,1257.41
836797500,1256.3,1256.3,1256.3,1256.3
836883900,1238.85,1238.85,1238.85,1238.85
836970300,1236.95,1236.95,1236.95,1236.95
837056700,1248.96,1248.96,1248.96,1248.96
837143100,1248.4301,1248.4301,1248.4301,1248.4301
837402300,1250.0601,1250.0601,1250.0601,1250.0601
837488700,1239.75,1239.75,1239.75,1239.75
837575100,1254.9399,1254.9399,1254.9399,1254.9399
837661500,1265.72,1265.72,1265.72,1265.72
837747900,1275.48,1275.48,1275.48,1275.48
838007100,1278.83,1278.83,1278.83,1278.83
838093500,1264.62,1264.62,1264.62,1264.62
838179900,1244.9301,1244.9301,1244.9301,1244.9301
838266300,1243.1899,1243.1899,1243.1899,1243.1899
838352700,1229.33,1229.33,1229.33,1229.33
838611900,1202.84,1202.84,1202.84,1202.84
838698300,1171.21,1171.21,1171.21,1171.21
838784700,1198.72,1198.72,1198.72,1198.72
838871100,1199.27,1199.27,1199.27,1199.27
838957500,1191.76,1191.76,1191.76,1191.76
839216700,1189,1189,1189,1189
839303100,1187.66,1187.66,1187.66,1187.66
839389500,1197.9301,1197.9301,1197.9301,1197.9301
839475900,1190.15,1190.15,1190.15,1190.15
839562300,1190.9301,1190.9301,1190.9301,1190.9301
839821500,1186.67,1186.67,1186.67,1186.67
839907900,1174.84,1174.84,1174.84,1174.84
839994300,1165.65,1165.65,1165.65,1165.65
840167100,1145.6,1145.6,1145.6,1145.6
840426300,1117.33,1117.33,1117.33,1117.33
840512700,1108.4399,1108.4399,1108.4399,1108.4399
840599100,1126.33,1126.33,1126.33,1126.33
840685500,1130.23,1130.23,1130.23,1130.23
840771900,1137.3,1137.3,1137.3,1137.3
841031100,1134.08,1134.08,1134.08,1134.08
841117500,1134.61,1134.61,1134.61,1134.61
841203900,1156.3101,1156.3101,1156.3101,1156.3101
841290300,1156.0699,1156.0699,1156.0699,1156.0699
841376700,1155.67,1155.67,1155.67,1155.67
841635900,1165.03,1165.03,1165.03,1165.03
841722300,1156.73,1156.73,1156.73,1156.73
841808700,1156.53,1156.53,1156.53,1156.53
841895100,1170.39,1170.39,1170.39,1170.39
841981500,1163.24,1163.24,1163.24,1163.24
842240700,1149.88,1149.88,1149.88,1149.88
842327100,1135.53,1135.53,1135.53,1135.53
842413500,1125.6899,1125.6899,1125.6899,1125.6899
842499900,1120.5601,1120.5601,1120.5601,1120.5601
842586300,1117.3101,1117.3101,1117.3101,1117.3101
842845500,1098.72,1098.72,1098.72,1098.72
842931900,1094.16,1094.16,1094.16,1094.16
843018300,1110.6899,1110.6899,1110.6899,1110.6899
843104700,1108.4,1108.4,1108.4,1108.4
843191100,1107.13,1107.13,1107.13,1107.13
843450300,1090.86,1090.86,1090.86,1090.86
843536700,1078.77,1078.77,1078.77,1078.77
843623100,1074.63,1074.63,1074.63,1074.63
843709500,1061,1061,1061,1061
843795900,1042.16,1042.16,1042.16,1042.16
844055100,1041.61,1041.61,1041.61,1041.61
844141500,1036.09,1036.09,1036.09,1036.09
844314300,1022.85,1022.85,1022.85,1022.85
844400700,1000.12,1000.12,1000.12,1000.12
844659900,965.96997,965.96997,965.96997,965.96997
844746300,964.54999,964.54999,964.54999,964.54999
844832700,975.34003,975.34003,975.34003,975.34003
844919100,1012.66,1012.66,1012.66,1012.66
845005500,1025.8199,1025.8199,1025.8199,1025.8199
845264700,1005.41,1005.41,1005.41,1005.41
845351100,1010.14,1010.14,1010.14,1010.14
845437500,1011.95,1011.95,1011.95,1011.95
845523900,1006.03,1006.03,1006.03,1006.03
845610300,1007.13,1007.13,1007.13,1007.13
845955900,1031.34,1031.34,1031.34,1031.34
846042300,1069.24,1069.24,1069.24,1069.24
846128700,1051.35,1051.35,1051.35,1051.35
846215100,1049.85,1049.85,1049.85,1049.85
846474300,1049.8199,1049.8199,1049.8199,1049.8199
846560700,1034.77,1034.77,1034.77,1034.77
846733500,1018.7,1018.7,1018.7,1018.7
846819900,1014.8,1014.8,1014.8,1014.8
847079100,1009.07,1009.07,997.70001,1000
847165500,1000.31,1000.31,991,991
847251900,983.91998,991.65002,980.21002,988.15002
847338300,988.83002,997.46997,988.83002,997.06
847424700,1000.46,1004.18,1000.46,1004.09
847683900,1001,1005.24,994.92999,1004.03
847856700,1003.29,1010.51,1003.29,1008.97
847943100,1009.06,1009.06,1004.19,1007.36
848029500,1005.14,1009.08,1005.14,1008.75
848288700,1009.88,1013.37,1007.86,1011.69
848375100,1007.51,1012.31,1007.25,1007.27
848461500,1004.13,1004.13,999.84003,1001.01
848547900,995.59998,996.46002,992.16998,993.90002
848634300,992.29999,992.29999,986.21997,986.57001
848893500,983.41998,983.87,972.84998,982.21002
848979900,981.96997,989.81,981.96997,984.96997
849066300,978.41998,978.45001,970.25,971.78003
849152700,970.59998,971.27002,964.35999,966.96002
849239100,965.41998,965.41998,958.85999,960.45001
849498300,960.65002,960.65002,945.92999,946.53003
849584700,941.17999,941.17999,932.54999,933.45001
849671100,924.59998,924.59998,907.02002,912.89001
849757500,911.04999,925.27002,911.04999,924.51001
849843900,924.12,928.96997,923.84998,928.39001
850103100,929.12,929.88,926.96997,929.40997
850189500,928.73999,929.66998,924.56,929.32001
850275900,929.77002,957.94,929.77002,955.96002
850362300,960.75,965.14001,949.85999,950.22998
850448700,948.13,948.13,944.46997,947.54999
850707900,951.59998,964.75,951.59998,964.75
850794300,965.48999,966.62,959.35999,961.39001
850880700,967.66998,981.21002,967.66998,978.01001
850967100,973.81,980.53003,973.81,979.70001
851053500,987.16998,1001.46,987.16998,999.53998
851312700,1004.12,1011.59,1004.12,1006.08
851399100,1003.37,1006.15,1000.25,1006.03
851571900,1011.95,1040.65,1011.95,1040.65
852003900,1048.91,1048.91,1033.89,1035.0699
852090300,1051.89,1077.83,1051.89,1077.83
852176700,1086.24,1086.24,1073.2,1074.17
852263100,1068.1801,1068.1801,1060.41,1067.01
852522300,1075,1075,1064.91,1065.3101
852608700,1061.97,1064.63,1056.96,1059.0699
852695100,1075.99,1086.5699,1075.99,1084.25
852781500,1083.87,1090.85,1083.87,1089.5
852867900,1101.03,1114.66,1101.03,1113.1
853127100,1107.35,1120.42,1107.35,1120.1899
853213500,1125.88,1129.71,1121.74,1123.17
853299900,1147.53,1177.83,1147.53,1176.95
853386300,1207.05,1207.05,1137.63,1142.52
853472700,1131.9,1134.49,1111.78,1122.98
853731900,1114.8,1117.14,1095.4301,1096.8199
853818300,1088.29,1088.29,1072.0601,1072.0601
853904700,1084.84,1096.72,1084.84,1096.72
854077500,1095.73,1095.73,1084.73,1085.0601
854336700,1095.5601,1098.66,1095.24,1095.5601
854423100,1097.02,1098.22,1092.48,1097.35
854509500,1106.8199,1111.63,1097.35,1099.63
854595900,1095.95,1095.95,1086.34,1089.54
854682300,1080.1801,1080.1801,1065.28,1067.8
854941500,1062.4301,1062.4301,1045.4,1045.89
855027900,1043.6,1045.9399,1037.0699,1041.99
855114300,1059.92,1060.8,1054.6801,1055.36
855200700,1056.8101,1056.8101,1052.74,1055.49
855287100,1056.22,1061.22,1053.88,1061.22
855546300,1062.79,1065.45,1060.98,1061.6899
855632700,1061.11,1065.47,1061.11,1065.14
855719100,1067.22,1074.53,1067.22,1071.88
